The Shawshank ____ | Redemption
Forrest ____ | Gump
Saving Private ____ | Ryan
The Green ____ | Mile
The Wolf of Wall ____ | Street
The Pursuit of ____ | Happyness
Catch Me If You ____ | Can
Now You ____ Me | See
The Fault in Our ____ | Stars
A Quiet ____ | Place
Bird ____ | Box
The Maze ____ | Runner
Ready Player ____ | One
Charlie and the Chocolate ____ | Factory
Fantastic Beasts The Crimes of ____ | Grindelwald
Fantastic Four Superhero ____ | Team
The Chronicles of Narnia The Lion the Witch and the ____ | Wardrobe
The Chronicles of Narnia Prince ____ | Caspian
The Chronicles of Narnia Voyage of the Dawn ____ | Treader
Alice in ____ | Wonderland
Wreck It ____ | Ralph
Ralph Breaks the ____ | Internet
Rise of the Planet of the ____ | Apes
Dawn of the Planet of the ____ | Apes
War for the Planet of the ____ | Apes
Planet of the ____ | Apes
The Lego ____ | Movie
Batman Begins Dark ____ | Knight
The Batman Gotham ____ | Vigilante
Man of ____ | Steel
Justice ____ | League
Suicide ____ | Squad
Edge of ____ | Tomorrow
Live Die ____ | Repeat
No Time to ____ | Die
Skyfall Secret ____ | Agent
Casino ____ | Royale
Quantum of ____ | Solace
John ____ | Wick
Indiana Jones and the Last ____ | Crusade
Indiana Jones Raiders of the Lost ____ | Ark
Transformers Revenge of the ____ | Fallen
Transformers Dark of the ____ | Moon
Rise of the ____ | Guardians
Guardians of the Galaxy Volume ____ | Three
Teenage Mutant Ninja ____ | Turtles
The Last ____ | Samurai
Top Gun Maverick Fighter ____ | Pilot
Jumanji Welcome to the ____ | Jungle
Jumanji The Next ____ | Level
The Dark ____ | Knight
Avengers Endgame Final ____ | Battle
Spider Man No Way ____ | Home
Harry Potter and the Chamber of ____ | Secrets
Harry Potter and the Goblet of ____ | Fire
Harry Potter and the Prisoner of ____ | Azkaban
The Lord of the ____ | Rings
The Hunger ____ | Games
Fast and ____ | Furious
Mission Impossible Ghost ____ | Protocol
Pirates of the Caribbean Dead Man’s ____ | Chest
Beauty and the ____ | Beast
Finding ____ | Nemo
Finding ____ | Dory
Toy ____ | Story
Monsters ____ | Inc
Frozen Snow ____ | Queen
The Lion ____ | King
How to Train Your ____ | Dragon
The Secret Life of ____ | Pets
Diary of a Wimpy ____ | Kid
Night at the ____ | Museum
Cloudy with a Chance of ____ | Meatballs
Back to the ____ | Future
Jurassic ____ | Park
Doctor Strange Multiverse of ____ | Madness
Captain America Civil ____ | War
Black Panther Wakanda ____ | Forever
Guardians of the ____ | Galaxy
Star ____ | Wars
The Amazing Spider ____ | Man
The Incredible ____ | Hulk
The Super Mario ____ | Bros
Cars Racing ____ | Adventure
Inside ____ | Out
Despicable ____ | Me
Minions Rise of ____ | Gru
Kung Fu ____ | Panda
Madagascar Wild ____ | Adventure
Ice ____ | Age
Aladdin Magic ____ | Carpet
Home Alone Christmas ____ | Chaos
Kabhi Khushi Kabhie ____ | Gham
Hum Aapke Hain ____ | Koun
Kuch Kuch Hota ____ | Hai
Kal Ho ____ | Naa
Kabhi Alvida Naa ____ | Kehna
Yeh Jawaani Hai ____ | Deewani
Ae Dil Hai ____ | Mushkil
Om Shanti ____ | Om
Rab Ne Bana Di ____ | Jodi
Bajrangi ____ | Bhaijaan
Munna Bhai ____ | MBBS
3 ____ | Idiots
Chennai ____ | Express
Golmaal Fun ____ | Unlimited
Drishyam Hidden ____ | Truth
Don The Chase ____ | Begins
War and ____ | Action
Tiger Zinda ____ | Hai
Ek Tha ____ | Tiger
Student of the ____ | Year
Main Hoon ____ | Na
Baazigar The Dangerous ____ | Player
Mohabbatein Love ____ | Story
Devdas Tragic ____ | Hero
Rockstar Musical ____ | Journey
Barfi Sweet ____ | Surprise
Dil Chahta ____ | Hai
Zindagi Na Milegi ____ | Dobara
Wake Up ____ | Sid
Dear ____ | Zindagi
Money doesn’t grow on ____ | Trees
Every cloud has a silver ____ | Lining
The grass is always greener on the other ____ | Side
Actions speak louder than ____ | Words
Too many cooks spoil the ____ | Broth
A journey of a thousand miles begins with a single ____ | Step
Don’t count your chickens before they ____ | Hatch
When life gives you lemons make ____ | Lemonade
You can’t judge a book by its ____ | Cover
Practice makes ____ | Perfect
Better late than ____ | Never
The pen is mightier than the ____ | Sword
Where there’s smoke there’s ____ | Fire
Honesty is the best ____ | Policy
All that glitters is not ____ | Gold
Birds of a feather flock ____ | Together
Rome wasn’t built in a ____ | Day
